NumberOfCubes,MinSurface,MaxSurface
884,682,3538
885,974,3542
886,2662,3546
887,3550,3550
888,788,3554
889,2046,3558
890,1266,3562
891,558,3566
892,1792,3570
893,1918,3574
894,1502,3578
895,2158,3582
896,576,3586
897,814,3590
898,2698,3594
899,1918,3598
900,560,3602
901,1942,3606
902,1110,3610
903,902,3614
904,1372,3618
905,2182,3622
906,1522,3626
907,3630,3630
908,1824,3634
909,1230,3638
910,582,3642
911,3646,3646
912,628,3650
913,2014,3654
914,2746,3658
915,1006,3662
916,1840,3666
917,2110,3670
918,618,3674
919,3678,3678
920,678,3682
921,2462,3686
922,2770,3690
923,2014,3694
924,586,3698
925,790,3702
926,2782,3706
927,1254,3710
928,760,3714
929,3718,3718
930,742,3722
931,630,3726
932,1872,3730
933,2494,3734
934,2806,3738
935,654,3742
936,586,3746
937,3750,3750
938,1234,3754
939,2510,3758
940,886,3762
941,3766,3766
942,1582,3770
943,2014,3774
944,976,3778
945,606,3782
946,1162,3786
947,3790,3790
948,1130,3794
949,2070,3798
950,670,3802
951,2542,3806
952,622,3810
953,3814,3814
954,990,3818
955,2302,3822
956,1920,3826
957,878,3830
958,2878,3834
959,2206,3838
960,592,3842
961,2046,3846
962,1162,3850
963,1302,3854
964,1936,3858
965,2326,3862
966,682,3866
967,3870,3870
968,594,3874
969,862,3878
970,1378,3882
971,3886,3886
972,594,3890
973,2238,3894
974,2926,3898
975,670,3902
976,1008,3906
977,3910,3910
978,1642,3914
979,2158,3918
980,616,3922
981,1326,3926
982,2950,3930
983,3934,3934
984,868,3938
985,2374,3942
986,1170,3946
987,982,3950
988,750,3954
989,2110,3958
990,598,3962
991,3966,3966
992,808,3970
993,2654,3974
994,1306,3978
995,2398,3982
996,1186,3986
997,3990,3990
998,2998,3994
999,942,3998
1000,600,4002
1001,622,4006
1002,1682,4010
1003,2158,4014
1004,2016,4018
1005,1102,4022
1006,3022,4026
1007,2158,4030
1008,620,4034
1009,4038,4038
1010,1434,4042
1011,2702,4046
1012,778,4050
1013,4054,4054
1014,650,4058
1015,766,4062
1016,1540,4066
1017,1374,4070
1018,3058,4074
1019,4078,4078
1020,664,4082
1021,4086,4086
1022,1342,4090
1023,934,4094
1024,640,4098
1025,870,4102
1026,678,4106
1027,2238,4110
1028,2064,4114
1029,686,4118
1030,1462,4122
1031,4126,4126
1032,908,4130
1033,4134,4134
1034,1266,4138
1035,734,4142
1036,870,4146
1037,2230,4150
1038,1742,4154
1039,4158,4158
1040,628,4162
1041,2782,4166
1042,3130,4170
1043,2398,4174
1044,768,4178
1045,718,4182
1046,3142,4186
1047,2798,4190
1048,1588,4194
1049,4198,4198
1050,650,4202
1051,4206,4206
1052,2112,4210
1053,630,4214
1054,1246,4218
1055,2542,4222
1056,632,4226
1057,2430,4230
1058,1242,4234
1059,2830,4238
1060,994,4242
1061,4246,4246
1062,1098,4250
1063,4254,4254
1064,682,4258
1065,1166,4262
1066,1282,4266
1067,2350,4270
1068,1270,4274
1069,4278,4278
1070,1518,4282
1071,670,4286
1072,1104,4290
1073,2278,4294
1074,1802,4298
1075,910,4302
1076,2160,4306
1077,2878,4310
1078,658,4314
1079,2350,4318
1080,636,4322
1081,2302,4326
1082,3250,4330
1083,950,4334
1084,2176,4338
1085,814,4342
1086,1822,4346
1087,4350,4350
1088,672,4354
1089,638,4358
1090,1546,4362
1091,4366,4366
1092,662,4370
1093,4374,4374
1094,3286,4378
1095,1198,4382
1096,1660,4386
1097,4390,4390
1098,1134,4394
1099,2526,4398
1100,640,4402
1101,2942,4406
1102,1294,4410
1103,4414,4414
1104,740,4418
1105,742,4422
1106,1450,4426
1107,1038,4430
1108,2224,4434
1109,4438,4438
1110,874,4442
1111,2446,4446
1112,1684,4450
1113,1102,4454
1114,3346,4458
1115,2686,4462
1116,816,4466
1117,4470,4470
1118,1342,4474
1119,2990,4478
1120,664,4482
1121,2398,4486
1122,710,4490
1123,4494,4494
1124,2256,4498
1125,750,4502
1126,3382,4506
1127,742,4510
1128,988,4514
1129,4518,4518
1130,1602,4522
1131,1006,4526
1132,2272,4530
1133,2494,4534
1134,666,4538
1135,2734,4542
1136,1168,4546
1137,3038,4550
1138,3418,4554
1139,2446,4558
1140,728,4562
1141,2622,4566
1142,3430,4570
1143,1542,4574
1144,670,4578
1145,2758,4582
1146,1922,4586
1147,2430,4590
1148,958,4594
1149,3070,4598
1150,790,4602
1151,4606,4606
1152,672,4610
1153,4614,4614
1154,3466,4618
1155,694,4622
1156,850,4626
1157,2518,4630
1158,1942,4634
1159,2478,4638
1160,834,4642
1161,1086,4646
1162,1522,4650
1163,4654,4654
1164,1382,4658
1165,2806,4662
1166,1422,4666
1167,3118,4670
1168,1200,4674
1169,2686,4678
1170,674,4682
1171,4686,4686
1172,2352,4690
1173,1022,4694
1174,3526,4698
1175,990,4702
1176,700,4706
1177,2590,4710
1178,1378,4714
1179,1590,4718
1180,1102,4722
1181,4726,4726
1182,1982,4730
1183,702,4734
1184,952,4738
1185,1294,4742
1186,3562,4746
1187,4750,4750
1188,678,4754
1189,2518,4758
1190,718,4762
1191,3182,4766
1192,1804,4770
1193,4774,4774
1194,2002,4778
1195,2878,4782
1196,886,4786
1197,734,4790
1198,3598,4794
1199,2638,4798
1200,680,4802
1201,4806,4806
1202,3610,4810
1203,3214,4814
1204,1002,4818
1205,2902,4822
1206,1242,4826
1207,2590,4830
1208,1828,4834
1209,1070,4838
1210,682,4842
1211,2782,4846
1212,1438,4850
1213,4854,4854
1214,3646,4858
1215,702,4862
1216,736,4866
1217,4870,4870
1218,838,4874
1219,2590,4878
1220,1138,4882
1221,1102,4886
1222,1462,4890
1223,4894,4894
1224,722,4898
1225,798,4902
1226,3682,4906
1227,3278,4910
1228,2464,4914
1229,4918,4918
1230,962,4922
1231,4926,4926
1232,708,4930
1233,1662,4934
1234,3706,4938
1235,814,4942
1236,1466,4946
1237,4950,4950
1238,3718,4954
1239,1222,4958
1240,886,4962
1241,2662,4966
1242,798,4970
1243,2734,4974
1244,2496,4978
1245,1358,4982
1246,1630,4986
1247,2638,4990
1248,712,4994
1249,4998,4998
1250,850,5002
1251,1686,5006
1252,2512,5010
1253,2878,5014
1254,778,5018
1255,3022,5022
1256,1900,5026
1257,3358,5030
1258,1474,5034
1259,5038,5038
1260,712,5042
1261,2742,5046
1262,3790,5050
1263,3374,5054
1264,1296,5058
1265,846,5062
1266,2122,5066
1267,2910,5070
1268,2544,5074
1269,1182,5078
1270,1798,5082
1271,2686,5086
1272,1108,5090
1273,2718,5094
1274,742,5098
1275,830,5102
1276,958,5106
1277,5110,5110
1278,1314,5114
1279,5118,5118
1280,736,5122
1281,1262,5126
1282,3850,5130
1283,5134,5134
1284,1522,5138
1285,3094,5142
1286,3862,5146
1287,718,5150
1288,802,5154
1289,5158,5158
1290,1006,5162
1291,5166,5166
1292,934,5170
1293,3454,5174
1294,3886,5178
1295,958,5182
1296,720,5186
1297,5190,5190
1298,1578,5194
1299,3470,5198
1300,720,5202
1301,5206,5206
1302,890,5210
1303,5214,5214
1304,1972,5218
1305,902,5222
1306,3922,5226
1307,5230,5230
1308,1550,5234
1309,766,5238
1310,1854,5242
1311,1126,5246
1312,1048,5250
1313,2854,5254
1314,1350,5258
1315,3166,5262
1316,1090,5266
1317,3518,5270
1318,3958,5274
1319,5278,5278
1320,724,5282
1321,5286,5286
1322,3970,5290
1323,798,5294
1324,2656,5298
1325,1110,5302
1326,802,5306
1327,5310,5310
1328,1360,5314
1329,3550,5318
1330,786,5322
1331,726,5326
1332,960,5330
1333,2814,5334
1334,1542,5338
1335,1454,5342
1336,2020,5346
1337,3070,5350
1338,2242,5354
1339,2910,5358
1340,1246,5362
1341,1806,5366
1342,1630,5370
1343,2878,5374
1344,752,5378
1345,3238,5382
1346,4042,5386
1347,3598,5390
1348,2704,5394
1349,2878,5398
1350,750,5402
1351,3102,5406
1352,754,5410
1353,1214,5414
1354,4066,5418
1355,3262,5422
1356,1606,5426
1357,2878,5430
1358,1774,5434
1359,1830,5438
1360,772,5442
1361,5446,5446
1362,2282,5450
1363,2878,5454
1364,1018,5458
1365,782,5462
1366,4102,5466
1367,5470,5470
1368,790,5474
1369,2886,5478
1370,1938,5482
1371,3662,5486
1372,784,5490
1373,5494,5494
1374,2302,5498
1375,910,5502
1376,1096,5506
1377,774,5510
1378,1642,5514
1379,3166,5518
1380,856,5522
1381,5526,5526
1382,4150,5530
1383,3694,5534
1384,2092,5538
1385,3334,5542
1386,758,5546
1387,2958,5550
1388,2784,5554
1389,3710,5558
1390,1966,5562
1391,3022,5566
1392,908,5570
1393,3198,5574
1394,1626,5578
1395,958,5582
1396,2800,5586
1397,3070,5590
1398,2342,5594
1399,5598,5598
1400,760,5602
1401,3742,5606
1402,4210,5610
1403,2974,5614
1404,762,5618
1405,3382,5622
1406,1630,5626
1407,1382,5630
1408,784,5634
1409,5638,5638
1410,1094,5642
1411,3022,5646
1412,2832,5650
1413,1902,5654
1414,1846,5658
1415,3406,5662
1416,1228,5666
1417,3078,5670
1418,4258,5674
1419,1270,5678
1420,1318,5682
1421,910,5686
1422,1458,5690
1423,5694,5694
1424,1456,5698
1425,910,5702
1426,1642,5706
1427,5710,5710
1428,814,5714
1429,5718,5718
1430,766,5722
1431,1326,5726
1432,2164,5730
1433,5734,5734
1434,2402,5738
1435,1054,5742
1436,2880,5746
1437,3838,5750
1438,4318,5754
1439,5758,5758
1440,768,5762
1441,3166,5766
1442,1882,5770
1443,1262,5774
1444,1026,5778
1445,918,5782
1446,2422,5786
1447,5790,5790
1448,2188,5794
1449,862,5798
1450,970,5802
1451,5806,5806
1452,770,5810
1453,5814,5814
1454,4366,5818
1455,1582,5822
1456,796,5826
1457,3070,5830
1458,810,5834
1459,5838,5838
1460,1354,5842
1461,3902,5846
1462,1702,5850
1463,838,5854
1464,1268,5858
1465,3526,5862
1466,4402,5866
1467,1974,5870
1468,2944,5874
1469,3190,5878
1470,826,5882
1471,5886,5886
1472,864,5890
1473,3934,5894
1474,1786,5898
1475,1230,5902
1476,1056,5906
1477,3390,5910
1478,4438,5914
1479,1262,5918
1480,1042,5922
1481,5926,5926
1482,878,5930
1483,5934,5934
1484,1222,5938
1485,798,5942
1486,4462,5946
1487,5950,5950
1488,964,5954
1489,5958,5958
1490,2106,5962
1491,1462,5966
1492,2992,5970
1493,5974,5974
1494,1530,5978
1495,958,5982
1496,822,5986
1497,3998,5990
1498,1954,5994
1499,5998,5998
1500,800,6002
1501,3198,6006
1502,4510,6010
1503,2022,6014
1504,1192,6018
1505,1102,6022
1506,2522,6026
1507,3310,6030
1508,1090,6034
1509,4030,6038
1510,2134,6042
1511,6046,6046
1512,804,6050
1513,3238,6054
1514,4546,6058
1515,1646,6062
1516,3040,6066
1517,3190,6070
1518,914,6074
1519,966,6078
1520,844,6082
1521,806,6086
1522,4570,6090
1523,6094,6094
1524,1802,6098
1525,1270,6102
1526,1990,6106
1527,4078,6110
1528,2308,6114
1529,3358,6118
1530,826,6122
1531,6126,6126
1532,3072,6130
1533,1502,6134
1534,1822,6138
1535,3694,6142
1536,832,6146
1537,3238,6150
1538,4618,6154
1539,846,6158
1540,808,6162
1541,3262,6166
1542,2582,6170
1543,6174,6174
1544,2332,6178
1545,1678,6182
1546,4642,6186
1547,862,6190
1548,1104,6194
1549,6198,6198
1550,1030,6202
1551,1382,6206
1552,1584,6210
1553,6214,6214
1554,1046,6218
1555,3742,6222
1556,3120,6226
1557,2094,6230
1558,1798,6234
1559,6238,6238
1560,812,6242
1561,3582,6246
1562,1890,6250
1563,4174,6254
1564,1102,6258
1565,3766,6262
1566,978,6266
1567,6270,6270
1568,840,6274
1569,4190,6278
1570,2218,6282
1571,6286,6286
1572,1858,6290
1573,814,6294
1574,4726,6298
1575,870,6302
1576,2380,6306
1577,3358,6310
1578,2642,6314
1579,6318,6318
1580,1462,6322
1581,1342,6326
1582,2062,6330
1583,6334,6334
1584,816,6338
1585,3814,6342
1586,1882,6346
1587,1334,6350
1588,3184,6354
1589,3646,6358
1590,1226,6362
1591,3342,6366
1592,2404,6370
1593,1470,6374
1594,4786,6378
1595,1038,6382
1596,890,6386
1597,6390,6390
1598,1854,6394
1599,1390,6398
1600,840,6402
1601,6406,6406
1602,1638,6410
1603,3678,6414
1604,3216,6418
1605,1742,6422
1606,1942,6426
1607,6430,6430
1608,1388,6434
1609,6438,6438
1610,922,6442
